This is just to give an idea:

Address	Length	Type	String
.rdata:0108EB50	00000031	C	Blaze::GameManager::GetMatchmakingConfigResponse
.rdata:0108ACA8	0000003A	C	Blaze::GameManager::GetUserSetGameListSubscriptionRequest
.rdata:0108C8A8	0000002A	C	Blaze::GameManager::HostBalanceRuleStatus
.rdata:0108C840	0000002B	C	Blaze::GameManager::HostBalancingRulePrefs
.rdata:0108AE44	0000001D	C	Blaze::GameManager::HostInfo
.rdata:0108C910	0000002B	C	Blaze::GameManager::HostViabilityRulePrefs
.rdata:0108C978	0000002C	C	Blaze::GameManager::HostViabilityRuleStatus
.rdata:0108B2E0	00000031	C	Blaze::GameManager::IndirectJoinGameSetupContext
.rdata:0108B3C0	00000034	C	Blaze::GameManager::IndirectMatchmakingSetupContext
.rdata:0108DF88	00000031	C	Blaze::GameManager::JoinGameByGroupMasterRequest
.rdata:0108DF14	0000002E	C	Blaze::GameManager::JoinGameByUserListRequest
.rdata:0108DEB0	00000024	C	Blaze::GameManager::JoinGameRequest
.rdata:0108B114	00000025	C	Blaze::GameManager::JoinGameResponse
.rdata:0108E000	00000032	C	Blaze::GameManager::LeaveGameByGroupMasterRequest
.rdata:0108E36C	00000021	C	Blaze::GameManager::ListGameData
.rdata:0108D4EC	00000026	C	Blaze::GameManager::ListGamesResponse
.rdata:0108ABD4	00000028	C	Blaze::GameManager::MachineLoadCapacity
.rdata:0108E8DC	0000002B	C	Blaze::GameManager::MatchmakingAsyncStatus
.rdata:0108E7EC	0000002C	C	Blaze::GameManager::MatchmakingCriteriaData
.rdata:0108CAB0	0000002D	C	Blaze::GameManager::MatchmakingCriteriaError
.rdata:0108AB68	00000031	C	Blaze::GameManager::MatchmakingCustomAsyncStatus
.rdata:0108AAF0	00000032	C	Blaze::GameManager::MatchmakingCustomCriteriaData
.rdata:0108BB70	0000003E	C	Blaze::GameManager::MatchmakingDedicatedServerOverrideRequest
.rdata:0108B350	0000002C	C	Blaze::GameManager::MatchmakingSetupContext
.rdata:0108BAF8	00000027	C	Blaze::GameManager::MigrateHostRequest
.rdata:0108B6E4	0000002A	C	Blaze::GameManager::NotifyAdminListChange
.rdata:0108EBA8	0000003B	C	Blaze::GameManager::NotifyCreateDynamicDedicatedServerGame
.rdata:0108E484	0000002B	C	Blaze::GameManager::NotifyGameAttribChange
.rdata:0108E4D4	0000002D	C	Blaze::GameManager::NotifyGameCapacityChange
.rdata:0108BF80	00000026	C	Blaze::GameManager::NotifyGameCreated
.rdata:0108DCD0	00000029	C	Blaze::GameManager::NotifyGameListUpdate
.rdata:0108C1D4	00000029	C	Blaze::GameManager::NotifyGameNameChange
.rdata:0108C224	00000038	C	Blaze::GameManager::NotifyGamePlayerQueuePositionChange
.rdata:0108C090	00000030	C	Blaze::GameManager::NotifyGamePlayerStateChange
.rdata:0108C0E4	0000002F	C	Blaze::GameManager::NotifyGamePlayerTeamChange
.rdata:0108BFCC	00000026	C	Blaze::GameManager::NotifyGameRemoved
.rdata:0108BF2C	00000030	C	Blaze::GameManager::NotifyGameReportingIdChange
.rdata:0108E57C	00000024	C	Blaze::GameManager::NotifyGameReset
.rdata:0108BDDC	0000002D	C	Blaze::GameManager::NotifyGameSettingsChange
.rdata:0108E3F0	00000024	C	Blaze::GameManager::NotifyGameSetup
.rdata:0108BEDC	0000002A	C	Blaze::GameManager::NotifyGameStateChange
.rdata:0108C138	0000002B	C	Blaze::GameManager::NotifyGameTeamIdChange
.rdata:0108BD20	00000030	C	Blaze::GameManager::NotifyHostMigrationFinished
.rdata:0108BCCC	0000002D	C	Blaze::GameManager::NotifyHostMigrationStart
.rdata:0108D608	00000031	C	Blaze::GameManager::NotifyMatchmakingAsyncStatus
.rdata:0108CB74	0000002C	C	Blaze::GameManager::NotifyMatchmakingFailed
.rdata:0108BC74	00000032	C	Blaze::GameManager::NotifyPlatformHostInitialized
.rdata:0108E528	0000002D	C	Blaze::GameManager::NotifyPlayerAttribChange
.rdata:0108BE84	00000031	C	Blaze::GameManager::NotifyPlayerCustomDataChange
.rdata:0108BBD4	0000002E	C	Blaze::GameManager::NotifyPlayerJoinCompleted
.rdata:0108E438	00000028	C	Blaze::GameManager::NotifyPlayerJoining
.rdata:0108BC28	00000028	C	Blaze::GameManager::NotifyPlayerRemoved
.rdata:0108BE30	0000002E	C	Blaze::GameManager::NotifyPresenceModeChanged
.rdata:0108C188	00000027	C	Blaze::GameManager::NotifyProcessQueue
.rdata:0108BD8C	00000029	C	Blaze::GameManager::NotifySelectedAsHost
.rdata:0108C304	0000002D	C	Blaze::GameManager::NumOfMatchmakingResponse
.rdata:0108C374	00000030	C	Blaze::GameManager::NumOfPlayerSessionsResponse
.rdata:0108C444	00000026	C	Blaze::GameManager::PingSiteRulePrefs
.rdata:0108E5D8	00000027	C	Blaze::GameManager::PingSiteRuleStatus
.rdata:0108CEB8	0000002B	C	Blaze::GameManager::PlayerConnectionStatus
.rdata:0108EA1C	00000031	C	Blaze::GameManager::PredefinedPingSiteRuleConfig
.rdata:0108E9AC	00000029	C	Blaze::GameManager::PredefinedRuleConfig
.rdata:0108C500	00000023	C	Blaze::GameManager::RankRuleStatus
.rdata:0108C4A4	00000028	C	Blaze::GameManager::RankedGameRulePrefs
.rdata:0108D7F0	00000041	C	Blaze::GameManager::RegisterDynamicDedicatedServerCreatorRequest
.rdata:0108D888	00000042	C	Blaze::GameManager::RegisterDynamicDedicatedServerCreatorResponse
.rdata:0108B61C	0000003C	C	Blaze::GameManager::RemovePlayerFromBannedListMasterRequest
.rdata:0108B538	00000036	C	Blaze::GameManager::RemovePlayerFromBannedListRequest
.rdata:0108B4C0	0000002E	C	Blaze::GameManager::RemovePlayerMasterRequest
.rdata:0108E074	0000002F	C	Blaze::GameManager::RemovePlayerMasterResponse
.rdata:0108B458	00000028	C	Blaze::GameManager::RemovePlayerRequest
.rdata:0108B7B0	00000026	C	Blaze::GameManager::ReplayGameRequest
.rdata:0108DDC8	00000027	C	Blaze::GameManager::ReplicatedGameData
.rdata:0108DD38	00000029	C	Blaze::GameManager::ReplicatedGamePlayer
.rdata:0108B1FC	00000035	C	Blaze::GameManager::ResetDedicatedServerSetupContext
.rdata:0108B820	00000037	C	Blaze::GameManager::ReturnDedicatedServerToPoolRequest
.rdata:0108C67C	00000028	C	Blaze::GameManager::RosterSizeRulePrefs
.rdata:0108E27C	0000002D	C	Blaze::GameManager::SetGameAttributesRequest
.rdata:0108B8FC	0000002B	C	Blaze::GameManager::SetGameSettingsRequest
.rdata:0108ADE8	00000029	C	Blaze::GameManager::SetNetworkQosRequest
.rdata:0108E2EC	0000002F	C	Blaze::GameManager::SetPlayerAttributesRequest
.rdata:0108E20C	0000002D	C	Blaze::GameManager::SetPlayerCapacityRequest
.rdata:0108B968	0000002F	C	Blaze::GameManager::SetPlayerCustomDataRequest
.rdata:0108B9D4	00000029	C	Blaze::GameManager::SetPlayerTeamRequest
.rdata:0108B894	0000002B	C	Blaze::GameManager::SetPresenceModeRequest
.rdata:0108C6D8	00000023	C	Blaze::GameManager::SkillRulePrefs
.rdata:0108C730	00000024	C	Blaze::GameManager::SkillRuleStatus
.rdata:0108E944	0000002C	C	Blaze::GameManager::StartMatchmakingRequest
.rdata:0108CA40	0000002D	C	Blaze::GameManager::StartMatchmakingResponse
.rdata:0108BA38	00000027	C	Blaze::GameManager::SwapPlayerTeamData
.rdata:0108D46C	0000002B	C	Blaze::GameManager::SwapPlayersTeamRequest
.rdata:0108E6F8	00000026	C	Blaze::GameManager::TeamSizeRulePrefs
.rdata:0108C55C	00000027	C	Blaze::GameManager::TeamSizeRuleStatus
.rdata:0108CDDC	00000024	C	Blaze::GameManager::UEDRuleCriteria
.rdata:0108CE34	00000022	C	Blaze::GameManager::UEDRuleStatus
.rdata:0108D920	00000043	C	Blaze::GameManager::UnregisterDynamicDedicatedServerCreatorRequest
.rdata:0108D9B8	00000044	C	Blaze::GameManager::UnregisterDynamicDedicatedServerCreatorResponse
.rdata:0108B694	0000002B	C	Blaze::GameManager::UpdateAdminListRequest
.rdata:0108AF20	00000039	C	Blaze::GameManager::UpdateGameHostMigrationStatusRequest
.rdata:0108C3E0	0000002A	C	Blaze::GameManager::UpdateGameNameRequest
.rdata:0108AEA4	0000002D	C	Blaze::GameManager::UpdateGameSessionRequest
.rdata:0108D3D4	00000030	C	Blaze::GameManager::UpdateMeshConnectionRequest
.rdata:0108CD14	00000029	C	Blaze::GameManager::VirtualGameRulePrefs
.rdata:0108CD7C	0000002A	C	Blaze::GameManager::VirtualGameRuleStatus
.rdata:01043E78	00000025	C	Blaze::GameManagerAPI not available!
.rdata:010827EC	00000036	C	Blaze::GameReporting::ArsonCTF_Common::GameAttributes
.rdata:01082794	00000034	C	Blaze::GameReporting::ArsonCTF_Common::PlayerReport
.rdata:010858E8	0000002E	C	Blaze::GameReporting::ArsonCTF_Common::Report
.rdata:010828FC	00000036	C	Blaze::GameReporting::ArsonCTF_Custom::GameAttributes
.rdata:010828A4	00000034	C	Blaze::GameReporting::ArsonCTF_Custom::PlayerReport
.rdata:0108593C	0000002E	C	Blaze::GameReporting::ArsonCTF_Custom::Report
.rdata:01085990	0000003A	C	Blaze::GameReporting::ArsonCTF_Custom::ResultNotification
.rdata:01082848	00000035	C	Blaze::GameReporting::ArsonCTF_Derived::PlayerReport
.rdata:01082958	00000037	C	Blaze::GameReporting::ArsonCTF_EndGame::GameAttributes
.rdata:010859F0	00000035	C	Blaze::GameReporting::ArsonCTF_EndGame::PlayerReport
.rdata:01085A4C	0000002F	C	Blaze::GameReporting::ArsonCTF_EndGame::Report
.rdata:01082AD4	0000003A	C	Blaze::GameReporting::ArsonCTF_GSA_Common::GameAttributes
.rdata:01082A78	00000038	C	Blaze::GameReporting::ArsonCTF_GSA_Common::PlayerReport
.rdata:01085AFC	00000032	C	Blaze::GameReporting::ArsonCTF_GSA_Common::Report
.rdata:01082B34	00000039	C	Blaze::GameReporting::ArsonCTF_GSA_Derived::PlayerReport
.rdata:01082A14	0000003E	C	Blaze::GameReporting::ArsonCTF_GSA_NonDerived::GameAttributes
.rdata:010829B4	0000003C	C	Blaze::GameReporting::ArsonCTF_GSA_NonDerived::PlayerReport
.rdata:01085AA0	00000036	C	Blaze::GameReporting::ArsonCTF_GSA_NonDerived::Report
.rdata:01082CB4	00000039	C	Blaze::GameReporting::ArsonCTF_KS_Common::GameAttributes
.rdata:01082C58	00000037	C	Blaze::GameReporting::ArsonCTF_KS_Common::PlayerReport
.rdata:01085BB0	00000031	C	Blaze::GameReporting::ArsonCTF_KS_Common::Report
.rdata:01082D14	00000038	C	Blaze::GameReporting::ArsonCTF_KS_Derived::PlayerReport
.rdata:01082BF4	0000003D	C	Blaze::GameReporting::ArsonCTF_KS_NonDerived::GameAttributes
.rdata:01082B94	0000003B	C	Blaze::GameReporting::ArsonCTF_KS_NonDerived::PlayerReport
.rdata:01085B54	00000035	C	Blaze::GameReporting::ArsonCTF_KS_NonDerived::Report
.rdata:01082DCC	00000037	C	Blaze::GameReporting::ArsonCTF_MidGame::GameAttributes
.rdata:01082D70	00000035	C	Blaze::GameReporting::ArsonCTF_MidGame::PlayerReport
.rdata:01085C08	0000002F	C	Blaze::GameReporting::ArsonCTF_MidGame::Report
.rdata:01082734	0000003A	C	Blaze::GameReporting::ArsonCTF_NonDerived::GameAttributes
.rdata:01085834	00000038	C	Blaze::GameReporting::ArsonCTF_NonDerived::PlayerReport
.rdata:01085890	00000032	C	Blaze::GameReporting::ArsonCTF_NonDerived::Report
.rdata:010826C0	0000003F	C	Blaze::GameReporting::ArsonCTF_NonDerived::SkippedPlayerReport
.rdata:01082500	0000002C	C	Blaze::GameReporting::ArsonClub::ClubReport
.rdata:010824A0	0000002E	C	Blaze::GameReporting::ArsonClub::PlayerReport
.rdata:0108575C	00000028	C	Blaze::GameReporting::ArsonClub::Report
.rdata:01082550	00000044	C	Blaze::GameReporting::ArsonClubGameKeyscopes_NonDerived::ClubReport
.rdata:010825D0	0000004A	C	Blaze::GameReporting::ArsonClubGameKeyscopes_NonDerived::OffensiveAthlete
.rdata:01082640	00000046	C	Blaze::GameReporting::ArsonClubGameKeyscopes_NonDerived::PlayerReport
.rdata:010857D0	00000040	C	Blaze::GameReporting::ArsonClubGameKeyscopes_NonDerived::Report
.rdata:0108319C	00000031	C	Blaze::GameReporting::ArsonLeague::AthleteReport
.rdata:01083134	00000032	C	Blaze::GameReporting::ArsonLeague::DefensiveStats
.rdata:01083064	00000032	C	Blaze::GameReporting::ArsonLeague::GameAttributes
.rdata:010830CC	00000032	C	Blaze::GameReporting::ArsonLeague::OffensiveStats
.rdata:01083010	00000030	C	Blaze::GameReporting::ArsonLeague::PlayerReport
.rdata:01085D44	0000002A	C	Blaze::GameReporting::ArsonLeague::Report
.rdata:01083340	00000041	C	Blaze::GameReporting::ArsonLeagueGameKeyscopes::DefensiveAthlete
.rdata:010831F4	0000003F	C	Blaze::GameReporting::ArsonLeagueGameKeyscopes::GameAttributes
.rdata:010832C0	00000041	C	Blaze::GameReporting::ArsonLeagueGameKeyscopes::OffensiveAthlete
.rdata:01083258	0000003D	C	Blaze::GameReporting::ArsonLeagueGameKeyscopes::PlayerReport
.rdata:01085DB8	00000037	C	Blaze::GameReporting::ArsonLeagueGameKeyscopes::Report
.rdata:01083408	0000003A	C	Blaze::GameReporting::ArsonMultiKeyscopes::GameAttributes
.rdata:01085E2C	00000038	C	Blaze::GameReporting::ArsonMultiKeyscopes::PlayerReport
.rdata:01085E88	00000032	C	Blaze::GameReporting::ArsonMultiKeyscopes::Report
.rdata:010833B0	00000032	C	Blaze::GameReporting::ArsonMultiKeyscopes::Weapon
.rdata:01083468	0000003C	C	Blaze::GameReporting::ArsonMultiStatUpdates::GameAttributes
.rdata:01083528	0000003E	C	Blaze::GameReporting::ArsonMultiStatUpdates::OffensiveAthlete
.rdata:010834C8	0000003A	C	Blaze::GameReporting::ArsonMultiStatUpdates::PlayerReport
.rdata:01085EE0	00000034	C	Blaze::GameReporting::ArsonMultiStatUpdates::Report
.rdata:01083590	00000045	C	Blaze::GameReporting::ArsonMultiStatUpdatesKeyscopes::GameAttributes
.rdata:01083668	00000047	C	Blaze::GameReporting::ArsonMultiStatUpdatesKeyscopes::OffensiveAthlete
.rdata:01083600	00000043	C	Blaze::GameReporting::ArsonMultiStatUpdatesKeyscopes::PlayerReport
.rdata:01085F38	0000003D	C	Blaze::GameReporting::ArsonMultiStatUpdatesKeyscopes::Report
.rdata:01083800	0000002F	C	Blaze::GameReporting::Assault::BadPlayerReport
.rdata:010837A0	0000002A	C	Blaze::GameReporting::Assault::CoreReport
.rdata:01083740	0000002E	C	Blaze::GameReporting::Assault::CriticalReport
.rdata:01083A1C	0000002D	C	Blaze::GameReporting::Assault::GameEventData
.rdata:01086218	0000002F	C	Blaze::GameReporting::Assault::GameEventReport
.rdata:01083AE4	00000033	C	Blaze::GameReporting::Assault::GlobalGameEventData
.rdata:010862A4	00000035	C	Blaze::GameReporting::Assault::GlobalGameEventReport
.rdata:01083A80	0000002C	C	Blaze::GameReporting::Assault::GlobalReport
.rdata:0108385C	00000027	C	Blaze::GameReporting::Assault::KitData
